,Date,Ticker,Url,headline,source,snippet
1,1 month ago,META,"https://hypebeast.com/2022/10/meta-giphy-sale-uk-appeal-loss"" ",Meta Ordered To Sell Giphy by UK Antitrust Authority,Hypebeast,"Giphy was acquired by parent company Meta, known as Facebook at the time, 
in May 2020 in a reported deal of around $400 million USD."
2,1 month ago,META,"https://www.deccanherald.com/business/meta-agrees-to-sell-giphy-ending-battle-with-uk-regulators-1154881.html"" ","Meta agrees to sell Giphy, ending battle with UK regulators",Deccan Herald,"Facebook parent Meta said Tuesday that it will sell off Giphy after running 
out of options to thwart a ruling by UK regulators,..."
3,1 month ago,META,"https://www.businessinsider.in/tech/news/how-many-more-warning-signs-does-mark-zuckerberg-need-to-see-before-he-pulls-the-plug-on-his-metaverse/articleshow/94950601.cms"" ","How many more warning signs does Mark Zuckerberg need to see before he 
pulls the plug on his metaverse?",Business Insider India,"The Meta CEO said last year, when he changed the company's name from 
Facebook, that the metaverse would be ""mainstream"" in five to 10 years."
4,1 month ago,META,"https://www.moneycontrol.com/news/business/now-google-backed-sharechat-asks-the-wire-to-pull-down-articles-on-tek-fog-after-meta-9356111.html"" ","Now, Google-backed ShareChat asks The Wire to pull down articles on Tek Fog 
after Meta",Moneycontrol,"This comes a day after the news platform's public fall-out with Meta and 
later withdrawal of the articles for internal investigation."
5,1 month ago,META,"https://www.techcircle.in/2022/10/19/adobe-brings-its-metaverse-creator-tools-to-meta-s-quest-headsets/"" ",Adobe brings its metaverse creator tools to Meta's Quest ...,TechCircle,"In addition, the company signed a partnership with Meta to bring its 
Substance 3D suite to the Facebook parent's Quest virtual reality..."
6,1 month ago,META,"https://www.theinformation.com/articles/tiktok-gains-ad-momentum-as-meta-struggles"" ",TikTok Gains Ad Momentum as Meta Struggles,The Information,"The campaigns on Facebook and Instagram, by comparison, had a more muted 
impact and did not drive a similar burst of sales, she said. “In 2021,..."
7,1 month ago,META,"https://www.raconteur.net/technology/facebooks-rebrand-metaverse-gamble/"" ","A year on from the Facebook rebrand, will the metaverse ...",Raconteur,"A year on from the Facebook rebrand, will the metaverse gamble pay off? ... 
On 11 October, Meta CEO Mark Zuckerberg proudly announced that “legs..."
8,1 month ago,META,"https://www.indiatvnews.com/technology/news/mark-zuckerberg-loses-119-million-followers-on-facebook-taslima-nasreen-others-face-same-issue-meta-founder-ceo-latest-updates-2022-10-12-815717"" ",Mark Zuckerberg loses 119 million followers on Facebook,IndiaTV News,"Meta founder and CEO Mark Zuckerberg lost close to 119 million followers on 
Facebook. He was among a score of people who faced the same issue."
9,1 month ago,META,"https://fortune.com/crypto/2022/10/19/twitter-facebook-and-the-crypto-future-of-social-media/"" ","Twitter, Facebook, and the crypto future of social media",Fortune,"Today, though, it feels like it's Zuck who's driving a clown car around his 
empty metaverse, while Twitter is taking the lead in the next..."
0,1 week ago,META,"https://www.mayerbrown.com/en/perspectives-events/publications/2022/11/europe-daily-news/europe-daily-news-nov2322"" ","Europe Daily News, 23 November 2022 | Perspectives &amp; Events",Mayer Brown,"... Germany - Meta (Facebook) responds to the Bundeskartellamt's ... Trade 
under the EU-UK Trade and Cooperation Agreement - 20 October 2022"
1,3 weeks ago,META,"https://www.mondaq.com/turkey/antitrust-eu-competition-/1249666/the-intersection-of-personal-data-and-competition-law-in-light-of-recent-developments-in-trkiye-and-the-eu"" ",The Intersection Of Personal Data And Competition Law In ...,Mondaq,"The Board concluded that Meta has a dominant position on Türkiye's2 ... The 
""Facebook"" decision of the Bundeskartellamt (the Federal Cartel..."
2,1 month ago,META,"https://www.moneycontrol.com/news/business/metas-internal-tech-documents-will-never-say-we-did-a-bad-thing-whistleblower-sophie-zhang-9357461.html"" ","Meta’s internal tech documents will never say 'we did a bad thing': 
Whistleblower Sophie Zhang",Moneycontrol,"Source: Wikipedia. A while back, whistleblower Sophie Zhang, a former data 
scientist at Meta (previously Facebook), made public four internal..."
3,1 month ago,META,"https://www.adweek.com/media/meta-introduces-several-new-features-for-groups-at-facebook-communities-summit/"" ",Meta Introduces Several New Features for Groups at ...,Adweek,"Meta said in a blog post that members of a group focused on makeup can use 
Reels to share their latest finds and techniques, and Facebook..."
4,1 month ago,META,"https://www.newslaundry.com/2022/10/20/expert-take-why-was-the-wire-compelled-to-pull-down-its-meta-stories"" ",Expert take: Why was the Wire compelled to pull down its Meta stories?,Newslaundry,"David Thiel, former Facebook security engineer who is now the chief 
technology officer at the Stanford Internet Observatory, said he was “95%..."
5,6 days ago,META,"https://www.etftrends.com/tactical-allocation-channel/buzz-investing-equities-rally-amidst-encouraging-inflation-data/"" ",BUZZ Investing: Equities Rally Amidst Encouraging Inflation Data,ETF Trends,"Investors appear frustrated with META CEO Mark Zuckerberg's seemingly 
stubborn ... SNAP's Q3 earnings, released on October 20th, 2022,..."
